no,agency,corp_name,year,designation_type,industry,ghg_tco2eq,energy_tj,verifier,remark
180,농림축산식품부,(주)체리부로,2024,사업장,식료품 제조업,15210.0,310.0,(주)한국경영인증원,
181,기후에너지환경부,(주)충남고속,2024,사업장,육상 여객 운송업,23447.0,334.0,(주)한국경영인증원,
182,기후에너지환경부,(주)충무화학,2024,업체,"시멘트, 석회, 플라스터 및 그 외 제품 제조업",155600.0,637.0,(주)한국경영인증원,
183,농림축산식품부,(주)카길애그리퓨리나,2024,사업장,식료품 제조업,21263.0,434.0,(재)한국품질재단,
184,산업통상자원부,(주)카펙발레오,2024,사업장,자동차,22015.0,444.0,한국표준협회,
185,산업통상자원부,(주)캐스텍코리아,2024,사업장,철강,17076.0,300.0,한국표준협회,
186,기후에너지환경부,(주)케이비아이국인산업,2024,업체,폐기물 처리업,247354.0,114.0,(재)한국품질재단,
187,기후에너지환경부,(주)케이비아이텍,2024,업체,폐기물 처리업,151791.0,178.0,(재)한국품질재단,
188,산업통상자원부,(주)케이에프엔티,2024,사업장,석유화학,21733.0,458.0,(주)한국경영인증원,
189,산업통상자원부,(주)케이원전자,2024,사업장,전기전자,23937.0,499.0,한국표준협회,
190,기후에너지환경부,(주)케이이씨,2024,사업장,반도체 제조업,35594.0,648.0,㈜디엔브이비즈니스어슈어런스코리아,
191,기후에너지환경부,(주)케이조선,2024,사업장,선박 및 보트 건조업,63962.0,1153.0,(재)한국품질재단,
192,기후에너지환경부,(주)케이티앤지,2024,사업장,담배 제조업,104110.0,2109.0,(재)한국품질재단,
193,산업통상자원부,(주)케이프,2024,사업장,조선,14825.0,264.0,한국표준협회,
194,산업통상자원부,(주)케이피텍,2024,사업장,석유화학,9117.0,189.0,㈜디엔브이비즈니스어슈어런스코리아,
195,기후에너지환경부,(주)코넥,2024,사업장,자동차 신품 부품 제조업,39621.0,786.0,(주)한국경영인증원,
196,기후에너지환경부,(주)코다코,2024,사업장,자동차 신품 부품 제조업,39518.0,808.0,(재)한국품질재단,
197,기후에너지환경부,(주)코리아써키트,2024,사업장,전자 부품 제조업,127197.0,2578.0,(주)비에스아이그룹코리아,
198,기후에너지환경부,(주)코스틸,2024,사업장,1차 철강 제조업,10611.0,212.0,(주)한국경영인증원,
199,기후에너지환경부,(주)태상,2024,사업장,기타 금속 가공제품 제조업,57201.0,1113.0,(주)한국경영인증원,
200,국토교통부,(주)태영건설,2024,사업장,건설,19192.0,377.0,한국표준협회,
201,산업통상자원부,(주)태영열처리,2024,사업장,기계,14249.0,294.0,한국표준협회,
202,산업통상자원부,(주)태우,2024,사업장,비철금속,17165.0,334.0,한국가스안전공사,
203,기후에너지환경부,(주)태웅,2024,업체,1차 철강 제조업,162294.0,2950.0,(재)한국품질재단,
204,기후에너지환경부,(주)태평양금속,2024,사업장,"내화, 비내화 요업제품 제조업",37112.0,754.0,(주)한국경영인증원,
205,기후에너지환경부,(주)티씨씨스틸,2024,사업장,1차 철강 제조업,32724.0,676.0,(주)한국경영인증원,
206,기후에너지환경부,(주)티씨케이,2024,사업장,기타 비금속 광물제품 제조업,34496.0,713.0,(재)한국품질재단,
207,산업통상자원부,(주)티엘비,2024,사업장,전기전자,22682.0,456.0,(주)한국경영인증원,
208,농림축산식품부,(주)파리크라상,2024,사업장,식료품 제조업,20408.0,422.0,한국표준협회,
209,국토교통부,(주)평안운수,2024,사업장,교통(여객),12864.0,234.0,(주)한국경영인증원,
210,기후에너지환경부,(주)포레스코,2024,사업장,나무제품 제조업,32212.0,771.0,한국표준협회,
211,국토교통부,(주)포스코이앤씨,2024,사업장,건설,43843.0,884.0,로이드인증원㈜,
212,산업통상자원부,(주)풍년그린텍,2024,사업장,제지,22977.0,469.0,(주)신화엔지니어링종합건축사사무소,
213,산업통상자원부,(주)풍농,2024,사업장,석유화학,18535.0,340.0,(주)한국경영인증원,
214,기후에너지환경부,(주)풍정주공,2024,사업장,금속 주조업,30214.0,558.0,(주)한국경영인증원,
215,산업통상자원부,(주)퓨렉스,2024,사업장,반도체,16886.0,348.0,(주)한국경영인증원,
216,산업통상자원부,(주)피엔디티,2024,사업장,자동차,17142.0,335.0,지속가능인증원주식회사,
217,산업통상자원부,(주)피제이메탈,2024,사업장,비철금속,18099.0,327.0,(재)한국품질재단,
218,기후에너지환경부,(주)필맥스,2024,사업장,플라스틱 제품 제조업,20861.0,427.0,㈜한국품질보증원,
219,기후에너지환경부,(주)하림,2024,사업장,"도축, 육류 가공 및 저장 처리업",102619.0,2514.0,(재)한국품질재단,
220,농림축산식품부,(주)한국인삼공사 고려인삼창,2024,사업장,식료품 제조업,32542.0,661.0,(주)한국경영인증원,
