company_name,reporting_year,data_provider,jurisdiction,sics_sector,total_s1_emissions_ghg,company_url
Marubeni Corporation,2023,CDP,Japan,Consumer Goods,"1,000,124 tCO₂e",https://nzdpu.com/companies/23042?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Maruha Nichiro Corporation,2023,CDP,Japan,Food & Beverage,"87,062.49 tCO₂e",https://nzdpu.com/companies/19942?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"MEGMILK SNOW BRAND Co.,Ltd.",2023,CDP,Japan,Food & Beverage,"113,200 tCO₂e",https://nzdpu.com/companies/12986?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Meiji Holdings Co.Ltd.,2023,CDP,Japan,Food & Beverage,"229,110 tCO₂e",https://nzdpu.com/companies/12989?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Morinaga & Company Ltd,2023,CDP,Japan,Food & Beverage,"26,287.05 tCO₂e",https://nzdpu.com/companies/14988?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"Morinaga Milk Industry Co., Ltd.",2023,CDP,Japan,Food & Beverage,"205,345 tCO₂e",https://nzdpu.com/companies/14989?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"Nagatanienholdings Co.,Ltd.",2023,CDP,Japan,Food & Beverage,"10,211 tCO₂e",https://nzdpu.com/companies/24543?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"NAKABAYASHI.CO,.LTD",2023,CDP,Japan,Consumer Goods,"5,869 tCO₂e",https://nzdpu.com/companies/21334?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
NH Foods Ltd.,2023,CDP,Japan,Food & Beverage,"501,000 tCO₂e",https://nzdpu.com/companies/13124?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"NICHIMO CO.,LTD.",2023,CDP,Japan,Food & Beverage,,https://nzdpu.com/companies/24613?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"Niitaka Co.,Ltd.",2023,CDP,Japan,Consumer Goods,975 tCO₂e,https://nzdpu.com/companies/24548?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
NIPPN CORPORATION,2023,CDP,Japan,Food & Beverage,"46,192 tCO₂e",https://nzdpu.com/companies/21233?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"Nippon Suisan Kaisha, Ltd.",2023,CDP,Japan,Food & Beverage,"200,177.32 tCO₂e",https://nzdpu.com/companies/19940?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Nisshin Seifun Group Inc.,2023,CDP,Japan,Food & Beverage,"83,257 tCO₂e",https://nzdpu.com/companies/15047?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"Nitori Holdings Co., Ltd.",2023,CDP,Japan,Consumer Goods,"31,997 tCO₂e",https://nzdpu.com/companies/23058?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"NITTO BOSEKI CO.,LTD.",2023,CDP,Japan,Consumer Goods,"157,800 tCO₂e",https://nzdpu.com/companies/23248?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
OKAMURA CORPORATION,2023,CDP,Japan,Consumer Goods,"13,839.71 tCO₂e",https://nzdpu.com/companies/18548?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Okuwa Co Ltd,2023,CDP,Japan,Food & Beverage,"41,257 tCO₂e",https://nzdpu.com/companies/24474?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"RHYTHM CO.,LTD.",2023,CDP,Japan,Consumer Goods,437.444 tCO₂e,https://nzdpu.com/companies/21346?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
S.T. CORPORATION,2023,CDP,Japan,Consumer Goods,959 tCO₂e,https://nzdpu.com/companies/21147?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Sagami Holdings Corporation,2023,CDP,Japan,Food & Beverage,"9,782.3 tCO₂e",https://nzdpu.com/companies/21260?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Sanwa Holdings Corporation,2023,CDP,Japan,Consumer Goods,"10,310 tCO₂e",https://nzdpu.com/companies/16778?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
SB Technology Corp.,2023,CDP,Japan,Consumer Goods,1.85 tCO₂e,https://nzdpu.com/companies/21266?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Seiko Group Corporation,2023,CDP,Japan,Consumer Goods,"8,154 tCO₂e",https://nzdpu.com/companies/21267?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"SEIREN CO.,LTD.",2023,CDP,Japan,Consumer Goods,"98,083 tCO₂e",https://nzdpu.com/companies/19804?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
SHIKIBO LTD.,2023,CDP,Japan,Consumer Goods,"34,294 tCO₂e",https://nzdpu.com/companies/21348?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"Shimamura Co., Ltd.",2023,CDP,Japan,Consumer Goods,912 tCO₂e,https://nzdpu.com/companies/19443?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Sojitz Corporation,2023,CDP,Japan,Food & Beverage,"728,600 tCO₂e",https://nzdpu.com/companies/13612?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
SPK Corporation,2023,CDP,Japan,Consumer Goods,710 tCO₂e,https://nzdpu.com/companies/21275?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Starzen Co Ltd,2023,CDP,Japan,Food & Beverage,"26,868 tCO₂e",https://nzdpu.com/companies/18947?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Sumitomo Corporation,2023,CDP,Japan,Consumer Goods,"1,527,715 tCO₂e",https://nzdpu.com/companies/15335?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"TAKACHIHO KOHEKI CO.,LTD.",2023,CDP,Japan,Consumer Goods,25 tCO₂e,https://nzdpu.com/companies/21352?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
TAKARA HOLDINGS INC.,2023,CDP,Japan,Food & Beverage,"70,733 tCO₂e",https://nzdpu.com/companies/23087?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"Takashimaya Company, Limited",2023,CDP,Japan,Consumer Goods,"19,917 tCO₂e",https://nzdpu.com/companies/15386?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"The Nisshin OilliO Group,Ltd.",2023,CDP,Japan,Food & Beverage,"141,680 tCO₂e",https://nzdpu.com/companies/17005?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"TOKYO BASE Co.,Ltd.",2023,CDP,Japan,Consumer Goods,,https://nzdpu.com/companies/21291?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
TOLI Corporation,2023,CDP,Japan,Consumer Goods,"14,655.6 tCO₂e",https://nzdpu.com/companies/24621?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Toto Ltd.,2023,CDP,Japan,Consumer Goods,"167,834 tCO₂e",https://nzdpu.com/companies/13849?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"Toyo Suisan Kaisha, Ltd.",2023,CDP,Japan,Food & Beverage,"182,868 tCO₂e",https://nzdpu.com/companies/19089?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"Toyobo Co., Ltd.",2023,CDP,Japan,Consumer Goods,"712,015 tCO₂e",https://nzdpu.com/companies/13856?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
United Arrows Ltd,2023,CDP,Japan,Consumer Goods,584 tCO₂e,https://nzdpu.com/companies/23389?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"YAKULT HONSHA CO., LTD.",2023,CDP,Japan,Food & Beverage,"43,391.2 tCO₂e",https://nzdpu.com/companies/15575?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Yamaha Corp.,2023,CDP,Japan,Consumer Goods,"22,366.3 tCO₂e",https://nzdpu.com/companies/14067?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
YAMATANE CORPORATION,2023,CDP,Japan,Food & Beverage,"5,404 tCO₂e",https://nzdpu.com/companies/24595?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
YONDOSHI HOLDINGS INC.,2023,CDP,Japan,Consumer Goods,493.4 tCO₂e,https://nzdpu.com/companies/19761?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
